40.735657;-74.172367;Newark;277140
40.728157;-74.077642;Jersey City;247597
40.916765;-74.171811;Paterson;146199
40.663992;-74.210701;Elizabeth;124969
40.518715;-74.412095;Edison;99967
40.557599;-74.284602;Woodbridge Township;99585
40.082129;-74.209701;Lakewood Township;92843
39.953736;-74.197946;Toms River;91239
40.211511;-74.679665;Hamilton;88464
40.217053;-74.742938;Trenton;84913
40.858433;-74.163755;Clifton;84136
39.925946;-75.119620;Camden;77344
40.057838;-74.137183;Brick Township;75072
39.926813;-75.024631;Cherry Hill;71045
40.856766;-74.128476;Passaic;69781
40.396801;-74.091598;Middletown Township;66522
40.697590;-74.263163;Union City;66455
40.412855;-74.307282;Old Bridge Township;65375
39.802500;-75.044722;Gloucester Township;64634
40.767323;-74.204868;East Orange;64270
40.668714;-74.114309;Bayonne;63024
40.493889;-74.516944;Franklin;62300
40.804267;-74.012084;North Bergen;60773
39.486377;-75.025964;Vineland;60724
40.697590;-74.263163;Union;56642
40.539722;-74.466389;Piscataway;56044
40.486216;-74.451819;New Brunswick;55181
40.108056;-74.329444;Jackson Township;54856
40.925372;-74.276544;Wayne;54717
40.726325;-74.228643;Irvington;53926
40.865287;-74.417388;Parsippany-Troy Hills;53238
40.164578;-74.208267;Howell Township;51075
40.506772;-74.265423;Perth Amboy;50814
40.743991;-74.032363;Hoboken;50005
40.633714;-74.407374;Plainfield;49808
40.787879;-74.014306;West New York;49708
40.758433;-74.979338;Washington;48559
40.431695;-74.404978;East Brunswick;47512
40.806755;-74.185421;Bloomfield;47315
40.798570;-74.239083;West Orange;46207
39.879444;-74.901667;Evesham Township;45538
40.623333;-74.601111;Bridgewater Township;44464
40.380690;-74.531694;South Brunswick Township;43417
39.391111;-74.593889;Egg Harbor Township;43323
39.971170;-74.339282;Manchester Township;43070
40.885933;-74.043474;Hackensack;43010
40.459402;-74.360846;Sayreville;42704
39.934002;-74.890999;Mount Laurel Township;41864
39.945833;-74.190000;Berkeley Township;41255
40.452516;-74.476671;North Brunswick;40742
40.768434;-74.145421;Kearny;40684
40.622048;-74.244590;Linden;40499
40.338095;-74.268729;Marlboro Township;40191
40.893247;-74.011654;Teaneck;39776
39.364283;-74.422927;Atlantic City;39558
39.657356;-74.862320;Winslow Township;39499
40.336419;-74.433047;Monroe;39132
40.296944;-74.330000;Manalapan Township;38872
40.510632;-74.647252;Hillsborough Township;38303
40.825901;-74.209005;Montclair;37669
39.492824;-74.559688;Galloway Township;37349
40.232632;-74.286293;Freehold Township;36184
40.336419;-74.433047;Monroe;36129
40.793674;-74.150047;Belleville;35926
39.956205;-75.058009;Pennsauken Township;35885
40.259986;-74.790912;Ewing Township;35790
40.850933;-73.970138;Fort Lee;35345
40.277805;-74.729431;Lawrence Township;33472
40.940376;-74.131810;Fair Lawn;32457
40.027150;-74.887418;Willingboro Township;31629
40.304278;-73.992360;Long Branch;30719
39.819722;-75.122778;Deptford Township;30561
40.881488;-74.113198;Garfield;30487
40.658991;-74.347372;Westfield;30316
40.770619;-74.232648;Orange;30134
40.786287;-74.330084;Livingston;29366
39.851945;-74.961517;Voorhees Township;29131
40.357298;-74.667223;Princeton;28572
39.402060;-75.039344;Millville;28400
40.822317;-74.159872;Nutley;28370
